score,n_neigbors,scaler_type,selector_name,percentile_value,reductor_type,n_features_reduction
0.424,11,<class 'sklearn.preprocessing._data.StandardScaler'>,percentile,26,<class 'sklearn.decomposition._incremental_pca.IncrementalPCA'>,5.0
0.424,11,<class 'sklearn.preprocessing._data.StandardScaler'>,percentile,26,<class 'sklearn.decomposition._kernel_pca.KernelPCA'>,5.0
0.424,11,<class 'sklearn.preprocessing._data.StandardScaler'>,percentile,27,<class 'sklearn.decomposition._incremental_pca.IncrementalPCA'>,5.0
0.424,11,<class 'sklearn.preprocessing._data.StandardScaler'>,percentile,27,<class 'sklearn.decomposition._kernel_pca.KernelPCA'>,5.0
0.4213333333333334,18,<class 'sklearn.preprocessing._data.RobustScaler'>,percentile,21,<class 'sklearn.decomposition._incremental_pca.IncrementalPCA'>,5.0
0.4213333333333334,18,<class 'sklearn.preprocessing._data.RobustScaler'>,percentile,22,<class 'sklearn.decomposition._incremental_pca.IncrementalPCA'>,5.0
0.4213333333333333,7,<class 'sklearn.preprocessing._data.StandardScaler'>,percentile,28,<class 'sklearn.decomposition._incremental_pca.IncrementalPCA'>,
0.4213333333333333,7,<class 'sklearn.preprocessing._data.StandardScaler'>,percentile,28,<class 'sklearn.decomposition._kernel_pca.KernelPCA'>,
0.4213333333333333,7,<class 'sklearn.preprocessing._data.StandardScaler'>,percentile,29,<class 'sklearn.decomposition._incremental_pca.IncrementalPCA'>,
0.4213333333333333,7,<class 'sklearn.preprocessing._data.StandardScaler'>,percentile,29,<class 'sklearn.decomposition._kernel_pca.KernelPCA'>,
0.4213333333333333,17,<class 'sklearn.preprocessing._data.RobustScaler'>,percentile,21,<class 'sklearn.decomposition._incremental_pca.IncrementalPCA'>,5.0
0.4213333333333333,17,<class 'sklearn.preprocessing._data.RobustScaler'>,percentile,21,<class 'sklearn.decomposition._kernel_pca.KernelPCA'>,5.0
0.4213333333333333,17,<class 'sklearn.preprocessing._data.RobustScaler'>,percentile,22,<class 'sklearn.decomposition._incremental_pca.IncrementalPCA'>,5.0
0.4213333333333333,17,<class 'sklearn.preprocessing._data.RobustScaler'>,percentile,22,<class 'sklearn.decomposition._kernel_pca.KernelPCA'>,5.0
0.4186666666666666,7,<class 'sklearn.preprocessing._data.StandardScaler'>,percentile,28,<class 'sklearn.decomposition._incremental_pca.IncrementalPCA'>,5.0
