score,n_neigbors,scaler_type,selector_name,percentile_value,reductor_type,n_features_reduction
0.40800000000000003,5,<class 'sklearn.preprocessing._data.MaxAbsScaler'>,percentile,26,<class 'sklearn.decomposition._incremental_pca.IncrementalPCA'>,5.0
0.40266666666666673,5,<class 'sklearn.preprocessing._data.StandardScaler'>,percentile,26,<class 'sklearn.decomposition._incremental_pca.IncrementalPCA'>,5.0
0.40266666666666673,5,<class 'sklearn.preprocessing._data.MaxAbsScaler'>,percentile,26,<class 'sklearn.decomposition._kernel_pca.KernelPCA'>,5.0
0.4,5,<class 'sklearn.preprocessing._data.StandardScaler'>,percentile,26,<class 'sklearn.decomposition._kernel_pca.KernelPCA'>,5.0
0.392,5,<class 'sklearn.preprocessing._data.StandardScaler'>,percentile,26,<class 'sklearn.decomposition._incremental_pca.IncrementalPCA'>,
0.392,5,<class 'sklearn.preprocessing._data.StandardScaler'>,percentile,26,<class 'sklearn.decomposition._kernel_pca.KernelPCA'>,
0.392,5,<class 'sklearn.preprocessing._data.MinMaxScaler'>,percentile,26,<class 'sklearn.decomposition._incremental_pca.IncrementalPCA'>,5.0
0.392,5,<class 'sklearn.preprocessing._data.MinMaxScaler'>,percentile,26,<class 'sklearn.decomposition._kernel_pca.KernelPCA'>,5.0
0.3866666666666667,5,<class 'sklearn.preprocessing._data.RobustScaler'>,percentile,26,<class 'sklearn.decomposition._incremental_pca.IncrementalPCA'>,4.0
0.3866666666666667,5,<class 'sklearn.preprocessing._data.RobustScaler'>,percentile,26,<class 'sklearn.decomposition._kernel_pca.KernelPCA'>,4.0
0.384,5,<class 'sklearn.preprocessing._data.RobustScaler'>,percentile,26,<class 'sklearn.decomposition._incremental_pca.IncrementalPCA'>,5.0
0.384,5,<class 'sklearn.preprocessing._data.RobustScaler'>,percentile,26,<class 'sklearn.decomposition._incremental_pca.IncrementalPCA'>,
0.384,5,<class 'sklearn.preprocessing._data.RobustScaler'>,percentile,26,<class 'sklearn.decomposition._kernel_pca.KernelPCA'>,
0.37333333333333335,5,<class 'sklearn.preprocessing._data.RobustScaler'>,percentile,26,<class 'sklearn.decomposition._kernel_pca.KernelPCA'>,5.0
0.3706666666666667,5,<class 'sklearn.preprocessing._data.MaxAbsScaler'>,percentile,26,<class 'sklearn.decomposition._incremental_pca.IncrementalPCA'>,4.0
0.3706666666666667,5,<class 'sklearn.preprocessing._data.MaxAbsScaler'>,percentile,26,<class 'sklearn.decomposition._kernel_pca.KernelPCA'>,4.0
0.37066666666666664,5,<class 'sklearn.preprocessing._data.StandardScaler'>,percentile,26,<class 'sklearn.decomposition._kernel_pca.KernelPCA'>,4.0
0.368,5,<class 'sklearn.preprocessing._data.StandardScaler'>,percentile,26,<class 'sklearn.decomposition._incremental_pca.IncrementalPCA'>,4.0
0.3626666666666667,5,<class 'sklearn.preprocessing._data.MaxAbsScaler'>,percentile,26,<class 'sklearn.decomposition._incremental_pca.IncrementalPCA'>,
0.3626666666666667,5,<class 'sklearn.preprocessing._data.MaxAbsScaler'>,percentile,26,<class 'sklearn.decomposition._kernel_pca.KernelPCA'>,
0.3626666666666667,5,<class 'sklearn.preprocessing._data.RobustScaler'>,percentile,26,<class 'sklearn.decomposition._kernel_pca.KernelPCA'>,3.0
0.36266666666666664,5,<class 'sklearn.preprocessing._data.StandardScaler'>,percentile,26,<class 'sklearn.decomposition._kernel_pca.KernelPCA'>,2.0
0.36266666666666664,5,<class 'sklearn.preprocessing._data.MinMaxScaler'>,percentile,26,<class 'sklearn.decomposition._incremental_pca.IncrementalPCA'>,
0.36266666666666664,5,<class 'sklearn.preprocessing._data.MinMaxScaler'>,percentile,26,<class 'sklearn.decomposition._kernel_pca.KernelPCA'>,
